Country,Date_first_restriction,Date_lockdown,Knot_date_1,Knot_date_2,N_knots,N_knots_in_range,Growth_factor_1,Growth_factor_2,Growth_factor_3,Growth_factor_1_sd,Growth_factor_2_sd,Growth_factor_3_sd,Intercept_1,Intercept_2,Intercept_3,Pois_dev_inc,Pois_dev_cum,Prob_equal,Prob_unequal,Min_n_unequal
Italy,2020-02-21,2020-03-10,2020-03-11,2020-03-23,2,2,1.2390489218849539,1.0778184601263476,0.9680256534198658,0.02767501230350231,0.007280601966504059,0.002075847187769169,0,1636.3279563880947,8129.254959396014,4360.338193340733,32744.43213474939,0.1,0.044336888940300474,3
Italy,2020-02-21,2020-03-10,2020-03-11,2020-03-24,2,2,1.2455876554941794,1.069234875677037,0.9670797004965205,0.030773808757911462,0.007475318743130015,0.0023456174789132462,0,1789.8043623641806,8320.278246129052,4172.262670865955,7594.279485997916,0.1,0.19116839900985283,15
Italy,2020-02-21,2020-03-10,2020-03-12,2020-03-26,2,2,1.2330747694822468,1.0517600054107688,0.9652460841147787,0.02963004832237932,0.007685138440658577,0.0027925970373383086,0,2259.54458985876,8694.969139382269,5063.725743347459,112030.67386021235,0.1,0.012958828157929977,1
Italy,2020-02-21,2020-03-10,2020-03-12,2020-03-27,2,2,1.240286686943302,1.043850555953727,0.9645539537109857,0.03317817732451448,0.007864797502418173,0.0032687127936601897,0,2447.987064392082,8838.420942532359,3871.1295073250244,16567.14934479534,0.1,0.08763041973951156,7
Italy,2020-02-21,2020-03-10,2020-03-12,2020-03-28,2,2,1.2468497852743459,1.0376828054917624,0.9637913591081388,0.035882447222609255,0.007907309819733794,0.0036721182533942733,0,2606.6389020505553,8998.101231341214,4290.775330841414,15049.55635127898,0.1,0.09646704640886043,8
Latvia,2020-03-13,2020-03-24,2020-03-19,2020-03-26,2,2,1.2687886878631005,1.070720347900613,0.9686919635724075,0.043672869551382894,0.02498320994561461,0.0031592344082304567,0,14.062852137336602,36.61112507387004,39.35753429458252,260.6795163709718,0.1,0.0324199599190923,1
Latvia,2020-03-13,2020-03-24,2020-03-19,2020-03-27,2,2,1.266873726294536,1.0621209660373108,0.9675881204415459,0.04165710313772472,0.02106944948734196,0.0032328911968712236,0,14.537445978262994,37.60346030362961,38.90939693572328,204.0282113852001,0.1,0.041421818164741844,1
Latvia,2020-03-13,2020-03-24,2020-03-19,2020-03-28,2,2,1.2699628174132496,1.0489955480154889,0.9661775931395999,0.04003273604205003,0.017275843691226787,0.003450759926964209,0,15.688676127241006,38.87770349248991,39.35676781186848,97.45041772431905,0.1,0.08672327599850033,3
Latvia,2020-03-13,2020-03-24,2020-03-19,2020-03-29,2,2,1.2746026644124275,1.0407291576539373,0.965408103619672,0.039796669772479275,0.015628874861617716,0.0036541090764053434,0,16.60501897985281,39.57794046030372,42.160313417420156,178.45251510826128,0.1,0.047358365710610424,1
Latvia,2020-03-13,2020-03-24,2020-03-20,2020-03-26,2,2,1.2403307826987082,1.0665989402811784,0.968738443143087,0.037639846915877934,0.02865387384654915,0.00322926422579667,0,14.940938447907556,36.568108315425775,36.93534773176635,58.31257047803586,0.1,0.14492963357975316,4
Latvia,2020-03-13,2020-03-24,2020-03-20,2020-03-27,2,2,1.2371340833839246,1.0585366278531914,0.9676657612017286,0.0359599700857888,0.023873014332893853,0.0033091036780755374,0,15.359381175643065,37.53187263859996,38.78485906677968,109.49458347994599,0.1,0.07718390448074645,2
Latvia,2020-03-13,2020-03-24,2020-03-20,2020-03-28,2,2,1.2381285663455541,1.0455271664394399,0.966328345514104,0.03456281838693338,0.019282663645962785,0.0035250590985791996,0,16.563720391925816,38.739390251019884,44.21331689137624,247.2263411196729,0.1,0.034184138446575786,1
Latvia,2020-03-13,2020-03-24,2020-03-20,2020-03-30,2,2,1.2545983679994281,1.021754291578639,0.9654431190301387,0.03424242152946912,0.014754138498081564,0.004022639225511114,0,20.024590572187854,39.5645674465175,43.02749346860964,46.82177270633564,0.1,0.18049763996508617,6
Latvia,2020-03-13,2020-03-24,2020-03-20,2020-03-31,2,2,1.2632535429150968,1.013488546647385,0.9655080920314545,0.03463981192947652,0.013530427712164013,0.0042757373209012135,0,21.47978967902321,39.52044061461315,43.39413064247048,64.2704051084585,0.1,0.13149472853350697,4
Latvia,2020-03-13,2020-03-24,2020-03-22,2020-04-09,2,2,1.2373621460321729,0.974504844153695,0.9708796204776117,0.023175655232749382,0.008336006558799932,0.005689649441430905,0,32.594305432931264,34.686059494031284,44.20823628696474,37.76464685361869,0.1,0.2237865352013865,7
Lithuania,2020-03-12,2020-03-16,2020-03-15,2020-03-25,2,2,2.0295854919200718,1.2622837442158503,0.959010214017192,1.2122112662467648,0.06731294455471867,0.00896329240541452,0,6.1384139816337715,69.52258179315335,150.34266480100024,1487.6429403093969,0.1,0.01419305931702295,1
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-25,2,2,1.3272721401449226,1.2139163837445874,0.9590490246309958,0.12416897404484106,0.3019292131083518,0.009353915301402943,0,16.20987316524794,69.47715121998857,131.53231955088827,236.39506311486068,0.1,0.0893174511182691,6
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-26,2,2,1.337464135072607,1.0844616087313483,0.9579749505589054,0.10968882847923946,0.1409005084011787,0.009671209694591114,0,36.179361266799994,70.83670560604939,133.580815969615,118.90836627635174,0.1,0.17756702203182867,13
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-27,2,2,1.323960302221232,1.0851218467877795,0.956570033338776,0.1062031080271884,0.11668093662788374,0.00981135228667327,0,34.15389912698372,72.59089134823577,128.44026151197443,82.20096245290571,0.1,0.2568607941355721,18
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-28,2,2,1.3140435259710637,1.0669268064962028,0.9540640692511202,0.09842701981401043,0.08149653622130715,0.010219649539288103,0,35.3376908849051,75.74255081864472,144.1897119609292,260.514442596701,0.1,0.08104811496784588,6
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-29,2,2,1.3080874178387554,1.060249927385365,0.9522943057935332,0.0941165921834919,0.06796446407342785,0.010482951374275474,0,35.44076113483483,77.9752760420165,143.6982993924011,308.7550570748597,0.1,0.06838496734076951,5
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-30,2,2,1.3144517964136795,1.0397137216830725,0.9504435575614988,0.0868482215625742,0.05085228330761566,0.010978571937147892,0,39.28754468647682,80.35182018240073,147.58354833479746,342.9365660570277,0.1,0.06156883395995333,4
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-03-31,2,2,1.3127014467197138,1.0358636168477466,0.9489474231085759,0.08403129741177112,0.045389692090491623,0.01122716374617187,0,39.58780967169132,82.26366079762408,140.0688167486019,273.7205050652809,0.1,0.07713782527664881,5
Lithuania,2020-03-12,2020-03-16,2020-03-23,2020-04-01,2,2,1.3089529025675297,1.0322414215516749,0.9462134295731682,0.08052998856134352,0.03927015918272296,0.011708852101445223,0,39.56974178526723,85.76677347772528,147.10503945023729,381.8213092096236,0.1,0.055298654069539634,4
Lithuania,2020-03-12,2020-03-16,2020-03-24,2020-03-24,2,2,1.3380561115067608,NA,0.960603749528969,0.04668317454960872,NA,0.0087425728901302,0,NA,67.56397279402476,136.165457981989,177.99377060770848,0.1,0.1186232777825501,8
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-03-24,2,2,1.3593385316714874,1.030909119840366,0.9423457410168136,0.035547343146157935,0.04912730217604778,0.004822247083374291,0,158.95983532626292,236.45279179687122,137.17496095734649,2025.47178860338,0.1,0.00880597736847263,1
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-03-31,2,2,1.3602073179777703,0.9804686039512119,0.9272062767152435,0.018674689829504987,0.007445344588668093,0.005107877487312692,0,183.7935375888543,289.67904413395956,127.28804867354418,2826.5980040363906,0.1,0.006310150472564867,1
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-01,2,2,1.3619241609917119,0.9774080427893309,0.9231691559668611,0.017878436479409003,0.006533880252735384,0.005549700370065235,0,186.1058012099524,304.23809670929154,144.86108505391516,2838.5045501669038,0.1,0.0062836815709428305,1
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-07,2,2,1.3798046247604872,0.962308246989141,0.913347730199125,0.020417176285990702,0.005644801281793527,0.010051570763063572,0,202.0682468413316,341.26299607534713,145.5772165075847,498.4739882406497,0.1,0.0357817241254127,6
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-08,2,2,1.3852674681916743,0.9590660747742862,0.9130521802878147,0.021387387890871294,0.005623437285739857,0.011789403584021882,0,206.2814744140159,342.94274103883606,143.3613897002633,214.76768164088216,0.1,0.08304908166185612,13
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-09,2,2,1.387921791764829,0.9575488749197156,0.9129845736196608,0.021864433971573297,0.005593832086969622,0.012837434658235475,0,208.30049175303486,343.5085818974013,142.3615004975463,106.32965165632534,0.1,0.16774491830906038,27
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-10,2,2,1.390736251426562,0.9558609791076973,0.912822698313569,0.022501195562884175,0.0055613909595761445,0.014432565459471037,0,210.47963180233052,344.54387647603994,143.79565769027798,63.767335385724074,0.1,0.2797083902444862,45
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-11,2,2,1.395453519143905,0.9531716798996339,0.9152842005777384,0.02331782158874577,0.005451149273673685,0.016922853595525384,0,214.0644101942273,336.17575604869637,137.46574628173818,91.30943187514605,0.1,0.1953386234546935,31
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-12,2,2,1.3971227295843782,0.9521850932922041,0.9163877110474284,0.02363499089204199,0.005384150859963068,0.01815338666350775,0,215.3498159654122,332.40725590582895,136.926626897672,146.3229071343247,0.1,0.12189655796373307,20
Luxembourg,2020-03-09,2020-03-16,2020-03-21,2020-04-13,2,2,1.3973977218565523,0.9520147451209677,0.9164334220040117,0.023690108515771784,0.005367812064934997,0.018461507740480616,0,215.56536074002292,332.3076818867555,139.6026146820862,187.5903541194139,0.1,0.0950808948287776,15
Moldova,2020-03-10,2020-03-11,2020-03-15,2020-04-05,2,2,1.6801731831540498,1.1419929831280597,1.0046438262859492,0.8246768950328449,0.021070566654444404,0.003690411720098314,0,6.458162400311881,109.7447283455789,113.40617970873286,349.98419098437444,0.1,0.14017944373861108,22
Moldova,2020-03-10,2020-03-11,2020-03-15,2020-04-06,2,2,1.9446210625401683,1.1219907530083122,1.0042118222147731,0.8313129564898533,0.018715528303615368,0.00394841230979328,0,9.871563714382273,111.63255991999988,286.20928449558824,3689.0854675790056,0.1,0.013298848628111041,2
Moldova,2020-03-10,2020-03-11,2020-03-16,2020-04-05,2,2,1.4219902540749165,1.142038685835845,1.0046382692247846,0.4375491872508543,0.021532413996889578,0.0036932589467899225,0,6.438886069498647,109.76399936101595,96.53257630985345,70.85139020890682,0.1,0.6924435648311381,110
Moldova,2020-03-10,2020-03-11,2020-03-16,2020-04-06,2,2,1.5589728599553294,1.1217406888358892,1.0042199148662487,0.4409078875270018,0.01907611101208032,0.003947474832844189,0,10.056339935747122,111.59428864551653,144.0029697786143,657.92591564852,0.1,0.07456856166113814,12
Moldova,2020-03-10,2020-03-11,2020-03-16,2020-04-07,2,2,1.6578019960094763,1.1083582216805992,1.0037462226472431,0.4437587323245546,0.01735059319768291,0.004175248238480256,0,12.637206809564173,113.58778587675275,208.64133417017456,1602.7599544436525,0.1,0.030610066762322665,5
Moldova,2020-03-10,2020-03-11,2020-03-16,2020-04-08,2,2,1.739010106074589,1.0985053161828808,1.003422420475253,0.45371744514161344,0.016321518728978076,0.004440935232274886,0,14.731610167509288,115.13914803476429,260.55553784406027,2310.8655573484602,0.1,0.021230395274829693,3
Moldova,2020-03-10,2020-03-11,2020-03-17,2020-04-05,2,2,1.4219902540749165,1.142038685835845,1.0046382692247846,0.4375491872508543,0.021532413996889578,0.0036932589467899225,0,6.438886069498647,109.76399936101595,399.7287292878501,7792.760430820585,0.1,0.006295662447861407,1
Moldova,2020-03-10,2020-03-11,2020-03-23,2020-04-05,2,2,1.2350775929665114,1.1377679079595477,1.004791129949382,0.12567318770952907,0.026060778934194558,0.003728193833518554,0,9.147110390654582,109.14564745429938,406.419904634139,7672.304391488064,0.1,0.006394505054299861,1
Moldova,2020-03-10,2020-03-11,2020-03-27,2020-04-05,2,2,1.2072755816004601,1.1311973890881364,1.0049802706387774,0.0751968575614791,0.031968157180412626,0.003760083600676887,0,13.46584007468131,108.38111314859933,362.5534010403315,6385.450086938855,0.1,0.007683184198690804,1
Moldova,2020-03-10,2020-03-11,2020-03-29,2020-04-05,2,2,1.1999963484181306,1.1257642833787858,1.005105635929238,0.06157160777010214,0.03675110138760452,0.003783850147779314,0,17.147607024088668,107.88290990614844,381.32799173831546,6724.52759244254,0.1,0.007295767402997188,1
Monaco,2020-01-24,NA,2020-03-17,NA,1,0,NA,0.9658729157438979,NA,NA,0.012902296623126832,NA,0,3.8372479446139747,NA,120.14809704700716,3555.6727242593292,1,1,1
Netherlands,2020-03-06,2020-03-16,2020-03-21,2020-04-05,2,2,1.2280793129575869,1.040949155169015,0.9641446789331491,0.03731822743330093,0.011289373029486863,0.004426856413835469,0,560.2676924189834,1837.2957187927273,1802.5725944770256,13026.256073386685,0.1,0.03195813817061046,5
Netherlands,2020-03-06,2020-03-16,2020-03-21,2020-04-06,2,2,1.233822202175563,1.0351257273980445,0.9631579634082823,0.03546936485457666,0.009912358576690436,0.004472985101621755,0,594.8972454838901,1879.5938004651366,2204.4191496981803,37878.099853188585,0.1,0.010990384761974841,2
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-06,2,2,1.2071127130841734,1.0326449427468845,0.9633951470813875,0.028815348677977057,0.009983063249295786,0.004329710308939635,0,633.492474094697,1869.6705765194815,2234.203607056145,62608.655279947234,0.1,0.006649158803645146,1
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-07,2,2,1.2098655449543123,1.0296312456833216,0.9620670780426164,0.02661560210914293,0.00879799092615466,0.0041666805990486855,0,654.4307406529674,1924.8397848011489,1764.4354034726746,38852.24173565326,0.1,0.010714822950795833,2
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-08,2,2,1.2089501223634214,1.0288616924618024,0.9603781579328559,0.02517898734898289,0.00794994564492761,0.0040110303946929195,0,653.9010889727791,1994.8086950495506,1707.1584222886158,40126.56915394283,0.1,0.01037454485186507,2
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-09,2,2,1.2088755942142981,1.0275147611671702,0.9583230685770242,0.02349635179417189,0.007066631062044737,0.00385935804192644,0,658.5211847941221,2080.3412758290315,1666.4781804646695,39264.48806417999,0.1,0.010602325713723508,2
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-10,2,2,1.2101222932634828,1.0253023012099536,0.9559289982638194,0.02180120779040931,0.006197161376197644,0.0037564998520356703,0,671.0813911463645,2180.7832098601352,1617.8498606367361,34122.52571234508,0.1,0.012200002278507633,2
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-11,2,2,1.2130000463858956,1.0223795620806408,0.9535250983233214,0.0204286359589606,0.005477576045853262,0.0037443855438806677,0,692.1429785123803,2282.4745279151884,1497.0625689362223,22020.272606875784,0.1,0.01890507437719268,3
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-12,2,2,1.219125980899995,1.0185399862166709,0.9516955732874858,0.01893743368774181,0.004829945199225314,0.003740379499082133,0,728.3277466951499,2360.2003995353434,1222.5801901902116,2904.024532115225,0.1,0.14335102435785058,22
Netherlands,2020-03-06,2020-03-16,2020-03-22,2020-04-13,2,2,1.2224993711332628,1.0158173553779455,0.9499728278056999,0.019293900729518407,0.00466623417474302,0.004047556641481839,0,750.4623992075569,2435.2263261986036,1252.8418151767846,559.3447915513426,0.1,0.7442545237338343,112
Norway,2020-03-10,2020-03-19,2020-03-17,2020-03-25,2,1,NA,1.1145183559443699,0.9460416854272516,NA,0.014511119059648055,0.0026698937375148188,0,-23.607493624260126,458.7412140662492,78.19333918101154,269.034022560011,0.1,0.01816960961836423,1
Norway,2020-03-10,2020-03-19,2020-03-20,2020-03-26,2,2,1.1026687470314283,1.0900048470293195,0.9442730178436977,0.008219192451687582,0.014369447054000414,0.00270518551821755,0,22.111169403682112,471.54813061213986,79.56243581632157,34.0010422075281,0.1,0.14376745083688344,8
Norway,2020-03-10,2020-03-19,2020-03-21,2020-03-26,2,2,1.102897676543234,1.0871919711857743,0.9444459059733624,0.007420651556453169,0.016239015147996,0.0027249291774565448,0,30.060720054177665,470.2895851692559,77.70107511605923,26.70032050878424,0.1,0.1830780706308523,10
Norway,2020-03-10,2020-03-19,2020-03-22,2020-03-26,2,2,1.1028251110320821,1.0833726551857576,0.9445989164621948,0.006726384397585819,0.019653429571728477,0.0027626914619067666,0,41.20030148251519,469.17851170598306,76.22146960114331,22.33821204204751,0.1,0.21882875651696707,12
Norway,2020-03-10,2020-03-19,2020-03-23,2020-03-26,2,2,1.1011948475725055,1.0827833014505632,0.944385468367454,0.006074183460218905,0.027500119130226108,0.0028381340303510016,0,43.911537500832196,470.73045472914146,77.54676138388014,23.75186215080062,0.1,0.20580462840926453,12
Norway,2020-03-10,2020-03-19,2020-03-25,2020-03-25,2,2,1.1050786211383554,NA,0.9468201474760874,0.0033720944764771155,NA,0.0024360238780119585,0,NA,453.0940100950734,74.82204502650525,116.00219455448301,0.1,0.04213923006152891,2
Norway,2020-03-10,2020-03-19,2020-03-25,2020-03-31,2,2,1.1026466034867408,0.9558148980307871,0.9442795481239109,0.004510046863936222,0.011419820468927337,0.0039913054300945465,0,420.3791727203954,471.6538030564601,80.20509408002144,83.58907710556922,0.1,0.058479448909334965,3
Norway,2020-03-10,2020-03-19,2020-03-25,2020-04-04,2,2,1.1041319582580786,0.9492501736781083,0.9451347433077115,0.004225389726165858,0.006947397679886977,0.005135351955144087,0,443.4265492524553,465.52641034148587,80.11296979945496,109.93449371163159,0.1,0.04446505367820142,2
Norway,2020-03-10,2020-03-19,2020-03-25,2020-04-05,2,2,1.104681268078551,0.9477822015804661,0.9460341913306287,0.004160351521540395,0.006362065143346597,0.005382293924876332,0,449.2020273840169,458.90348427061423,77.24055916440501,113.50044116105771,0.1,0.043068054308592105,2
Norway,2020-03-10,2020-03-19,2020-03-25,2020-04-06,2,2,1.1050477909992782,0.9468870757557469,0.9467597760850789,0.004109445483039492,0.005969807314301944,0.005597351948605373,0,452.8141277422298,453.5380809693195,75.00781468133012,115.83597769664642,0.1,0.042199697030011044,2
Poland,2020-03-10,2020-03-14,2020-03-14,2020-04-02,2,2,1.5169636885814817,1.1335367210414085,0.9961106090504638,0.26476045611831367,0.011056393041761764,0.0024292927957459327,0,26.073033792724992,377.0593238175973,81.77239427493889,139.95444675205226,0.1,0.17055752074449257,4
Poland,2020-03-10,2020-03-14,2020-03-15,2020-04-04,2,2,1.5746331853545055,1.1004413496108967,0.9928802270551701,0.15882558771971106,0.007882959044319541,0.002536323121258893,0,48.84175908159169,412.721036687615,69.22948952654701,248.22929868356474,0.1,0.09616223218527582,2
Poland,2020-03-10,2020-03-14,2020-03-26,2020-04-03,2,2,1.1675910560606746,1.1059643066796325,0.9946774803072718,0.022559354038666893,0.017023894025352718,0.0025965356123615973,0,64.76971359947517,392.62070409245,75.29638291879128,235.28514325374547,0.1,0.10145257420462798,2
Poland,2020-03-10,2020-03-14,2020-03-26,2020-04-04,2,2,1.177082226366914,1.0835848826689098,0.9938633412768539,0.021025466490190138,0.013215977997214917,0.0026471301597944903,0,98.26570822660231,401.7936827559274,74.46326733402502,489.5476568178254,0.1,0.04875987684296066,1
Poland,2020-03-10,2020-03-14,2020-03-27,2020-04-03,2,2,1.1606193525070907,1.105072245340853,0.9946211016183257,0.020319605386766318,0.019336697937495897,0.0026623717052378093,0,67.82301784997614,393.2120872565416,79.64644047206359,474.3987043921596,0.1,0.050316923790468183,1
Poland,2020-03-10,2020-03-14,2020-03-27,2020-04-04,2,2,1.168537835156676,1.0808298439234418,0.9939241160943285,0.018952801094084683,0.014756236863529563,0.002715780407623795,0,107.09145729577874,401.0935345416692,60.3343342857111,145.85792188995424,0.1,0.16365435038356438,4
Poland,2020-03-10,2020-03-14,2020-03-27,2020-04-05,2,2,1.1707879629165199,1.0727767225177072,0.9933107528918507,0.018816302790258164,0.013335059406462749,0.0028237410465112595,0,119.67172452695051,407.89479635993183,68.92120679392747,238.99334669798378,0.1,0.09987844341692928,2
Poland,2020-03-10,2020-03-14,2020-03-28,2020-04-04,2,2,1.1622390204429283,1.0775781310923818,0.9939823144079576,0.017449092219661802,0.01655730009314512,0.002795073256711591,0,117.59397530790905,400.3986231513157,78.2538322041371,524.0515743662029,0.1,0.04554949287971565,1
Poland,2020-03-10,2020-03-14,2020-03-28,2020-04-05,2,2,1.1637723273334604,1.0694685839928584,0.993393743881468,0.017293983792145314,0.014810326670017252,0.002902712313599585,0,130.987899500096,406.9113445841093,68.40585569016378,253.7664059713971,0.1,0.09406400096113447,2
Poland,2020-03-10,2020-03-14,2020-03-28,2020-04-06,2,2,1.1696791642222837,1.0548321436667538,0.9927770290951997,0.017179966297891505,0.012427169890638934,0.003148330014291997,0,159.52251155163083,414.0725915241458,74.99316783923531,184.17777064412468,0.1,0.12960458459083105,3
Portugal,2020-03-09,2020-03-19,2020-03-17,2020-03-28,2,2,1.368357738188277,1.2018149460977776,0.9716190540355143,0.21502191064566573,0.025505483128373033,0.003610171346999496,0,55.1256641819553,1037.6017315036952,772.0774454532433,2642.67550049762,0.1,0.03689934239375682,1
Portugal,2020-03-09,2020-03-19,2020-03-19,2020-03-28,2,2,1.332909804176485,1.2007405216849685,0.9716469578591075,0.16662940008932836,0.027084818843075474,0.003624442552905188,0,59.211838556199424,1036.9831689649743,706.3719540759358,933.3968280713731,0.1,0.10447109438966073,4
Portugal,2020-03-09,2020-03-19,2020-03-21,2020-03-31,2,2,1.3363307963634548,1.1060118890625568,0.9679178367392051,0.07041999898990105,0.01844403750744965,0.0037549134106602904,0,234.9252854469159,1119.8319727349538,594.7298629675618,1517.0281519235612,0.1,0.06427895751625297,3
Portugal,2020-03-09,2020-03-19,2020-03-22,2020-04-02,2,2,1.3381801113598928,1.066838259054308,0.964830344314574,0.05171889581886761,0.013515825182942219,0.004000463328392375,0,347.3175709511486,1188.984875468692,581.2110130824535,259.1904639318522,0.1,0.37622135725677397,15
Portugal,2020-03-09,2020-03-19,2020-03-23,2020-04-04,2,2,1.3256655228520107,1.041575869821162,0.9630318785346116,0.041408261997370556,0.011504223229424614,0.004517568922581286,0,454.54344484935785,1231.0293427081947,676.9738452509403,2412.3447375930104,0.1,0.040422492941763734,2
Portugal,2020-03-09,2020-03-19,2020-03-23,2020-04-05,2,2,1.3333216284789151,1.0359727164882817,0.9620819802753685,0.04090597281836751,0.010636558329775676,0.0047324611852018,0,475.7582591850133,1253.384367089712,616.8892703171714,872.9037537042526,0.1,0.11171104227086713,4
Portugal,2020-03-09,2020-03-19,2020-03-24,2020-04-11,2,2,1.3209848044806587,1.006092841759928,0.9532650925235774,0.02885820168294927,0.00677791875462493,0.0069387267108134655,0,648.6774432047051,1466.02837938952,875.630888385491,3783.247677840001,0.1,0.02577494164593744,1
Portugal,2020-03-09,2020-03-19,2020-03-24,2020-04-12,2,2,1.3255637860794565,1.003899463202807,0.9526795080677114,0.02915840751779271,0.006598291665359427,0.007404200563071558,0,662.6285051258976,1481.481927870672,751.26266354642,633.6958557810199,0.1,0.15387979460315576,6
Portugal,2020-03-09,2020-03-19,2020-03-24,2020-04-13,2,2,1.3304905025415101,1.0016267471874605,0.9518909019802905,0.029625032291754953,0.006435415570593908,0.008036749456671967,0,677.4593360293424,1502.3283287902575,779.2264262074698,1614.8251290303588,0.1,0.06038609777332806,2
Portugal,2020-03-09,2020-03-19,2020-03-24,2020-04-14,2,2,1.3324990342424332,1.0006610679008874,0.9510118158564109,0.0297376864558667,0.00631856923799648,0.00840519264707382,0,683.5862106635841,1524.3466447847477,870.6602122869242,3757.019531668899,0.1,0.025954879208503416,1
Romania,2020-03-08,2020-03-12,2020-03-11,2020-03-31,2,1,NA,1.1657417298098554,0.9898783302208035,NA,0.017405060127982826,0.0018152234053868052,0,20.400531695535932,391.29644142884644,562.2810625600366,4536.169302048969,0.1,0.031705295420308824,1
Romania,2020-03-08,2020-03-12,2020-03-12,2020-04-04,2,2,1.9599099323545006,1.1116254925184452,0.9872080461067773,0.46879577884389656,0.009824765022235558,0.0016900924286756443,0,38.17279979262249,434.19353172096174,576.282161428883,5774.841208298133,0.1,0.024904682676180998,1
Romania,2020-03-08,2020-03-12,2020-03-30,2020-04-03,2,2,1.1556682816474835,1.1119605041596567,0.9882007297002808,0.022229983037994436,0.050579085638061,0.0018365339548370027,0,79.32961614040542,418.18387861017675,429.63031589759146,556.8814280127681,0.1,0.2582607006867199,11
Romania,2020-03-08,2020-03-12,2020-03-30,2020-04-04,2,2,1.1565356613911857,1.0747384103432875,0.9877558379150457,0.019932997345155443,0.031273696466965345,0.0018104244650241953,0,148.46201065193532,425.32753869102856,427.10364283477793,2619.2779172346613,0.1,0.054908487126039386,2
